Country,Male,Female,Total
American Samoa,,1,1
Antigua and Barbuda,,1,1
Argentina,,1,1
Australia,,7,7
Bahrain,,4,4
Belgium,,2,2
Botswana,,1,1
Brazil,,2,2
Canada,3,32,35
"China, People's Republic of",5,4,9
Colombia,1,2,3
Dominican Republic,,1,1
Finland,,7,7
France,2,4,6
French Guiana,,2,2
Germany,3,6,9
Ghana,1,3,4
Greece,,1,1
Guatemala,,1,1
Guyana,5,34,39
Haiti,,1,1
India,52,74,126
Indonesia,,3,3
Iran,,1,1
Ireland,,3,3
Israel,,2,2
Italy,,3,3
Jamaica,,1,1
Japan,1,30,31
Kenya,,1,1
Kuwait,,1,1
Madagascar,,1,1
Malaysia,2,3,5
Mauritius,,2,2
Mexico,,2,2
Morocco,,1,1
Namibia,,2,2
Netherlands,,22,22
New Zealand,,3,3
Nicaragua,,1,1
Nigeria,,1,1
Pakistan,2,,2
Panama,,2,2
Philippines,2,17,19
Poland,,1,1
Qatar,3,2,5
Serbia,2,,2
Singapore,,2,2
Slovenia,,1,1
South Africa,8,75,83
Spain,,4,4
Suriname,,11,11
Sweden,,1,1
Switzerland,,1,1
Thailand,,3,3
Trinidad and Tobago,1,8,9
Turkey,2,8,10
United Arab Emirates,10,17,27
United Kingdom,28,184,212
United States of America (USA),13,71,84
Zimbabwe,,3,3
